id,Idade,Genero,Faixa_idade,Estado_onde_mora,Regiao_onde_mora,uf_onde_mora,Nivel_de_Ensino,Área_de_Formação,Qual_sua_situação_atual_de_trabalho,Nivel,Faixa_salarial,2021,ano_pesquisa,Cor/raca/etnia,PCD,experiencia_profissional_prejudicada,aspectos_prejudicados,vive_no_brasil,Cargo_Atual,2022,Não_acredito_que_minha_experiência_profissional_seja_afetada,Experiencia_prejudicada_devido_a_minha_Cor_Raça_Etnia,Experiencia_prejudicada_devido_a_minha_identidade_de_gênero,Experiencia_prejudicada_devido_ao_fato_de_ser_PCD,2023
pq2f6siodhhw9lv6uexzc0qpq2f6s1a2,34.0,Masculino,30-34,,Nordeste,BA,Pós-graduação,,Empregado (CLT),Pleno,de R$ 8.001/mês a R$ 12.000/mês,2021.0,2023,Branca,Não,,,1.0,Cientista de Dados/Data Scientist,2022.0,5421110702464140.0,2.0264803236484e+16,2.91283560132401e+16,2.46414122839279e+16,2023.0
pq3h4zwslk1l7h6ykdmpq3h4zqgnt3e8,37.0,Masculino,35-39,,Sul,PR,Pós-graduação,,Empregado (CLT),,de R$ 30.001/mês a R$ 40.000/mês,2021.0,2023,Branca,Não,,,1.0,,2022.0,5421110702464140.0,2.0264803236484e+16,2.91283560132401e+16,2.46414122839279e+16,2023.0
pqbvcx4mf47rrcc3mpqbs7pktbguw07c,23.0,Masculino,22-24,,Sudeste,SP,Graduação/Bacharelado,,Empregado (CLT),Pleno,de R$ 6.001/mês a R$ 8.000/mês,2021.0,2023,Branca,Não,,,1.0,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,2022.0,5421110702464140.0,2.0264803236484e+16,2.91283560132401e+16,2.46414122839279e+16,2023.0
prgn0z1ui7jujpbp2jfprgn0d22cew4z,27.0,Masculino,25-29,,Nordeste,PE,Mestrado,,Empregado (CLT),Pleno,de R$ 4.001/mês a R$ 6.000/mês,2021.0,2023,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,1.0,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,2022.0,1.0,0.0,0.0,0.0,2023.0
prr1rl6fg71tytnjtprr1rl6m4ywtgpl,38.0,Masculino,35-39,,Sudeste,RJ,Pós-graduação,,Empregado (CLT),,de R$ 25.001/mês a R$ 30.000/mês,2021.0,2023,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,1.0,,2022.0,1.0,0.0,0.0,0.0,2023.0
prszvwqe1xynzbdpprszvq1chdwtxvku,30.0,Masculino,30-34,,Sudeste,SP,Graduação/Bacharelado,,Empregado (CLT),Júnior,de R$ 2.001/mês a R$ 3.000/mês,2021.0,2023,Branca,Não,,,1.0,Outra Opção,2022.0,5421110702464140.0,2.0264803236484e+16,2.91283560132401e+16,2.46414122839279e+16,2023.0
prx9ggko7zz0nai7prx69rvz4fnszw4l,31.0,Masculino,30-34,,Sudeste,MG,Graduação/Bacharelado,,Empregado (CLT),Pleno,de R$ 4.001/mês a R$ 6.000/mês,2021.0,2023,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,1.0,Analista de BI/BI Analyst,2022.0,1.0,0.0,0.0,0.0,2023.0
ps0d27yrd8x23din7iq0qps0d2z6h8tt,31.0,Masculino,30-34,,,,Graduação/Bacharelado,,Vivo fora do Brasil e trabalho para empresa de fora do Brasil,Pleno,de R$ 25.001/mês a R$ 30.000/mês,2021.0,2023,Branca,Não,,,0.0,Cientista de Dados/Data Scientist,2022.0,5421110702464140.0,2.0264803236484e+16,2.91283560132401e+16,2.46414122839279e+16,2023.0
pscjmrukve1r5g15xcc8pscjminigfzq,28.0,Masculino,25-29,,Sudeste,SP,Graduação/Bacharelado,,Empregado (CLT),Júnior,de R$ 6.001/mês a R$ 8.000/mês,2021.0,2023,Branca,Não,,,1.0,Analista de BI/BI Analyst,2022.0,5421110702464140.0,2.0264803236484e+16,2.91283560132401e+16,2.46414122839279e+16,2023.0
ptecwbjopxzptytntuz5sllbzpcgab1y,41.0,Masculino,40-44,,Sul,RS,Pós-graduação,,Empregado (CLT),Pleno,de R$ 4.001/mês a R$ 6.000/mês,2021.0,2023,Branca,Não,,,1.0,Analista de Dados/Data Analyst,2022.0,5421110702464140.0,2.0264803236484e+16,2.91283560132401e+16,2.46414122839279e+16,2023.0
