id,Idade,Genero,Cor/raca/etnia,PCD,Faixa_idade,experiencia_profissional_prejudicada,Não_acredito_que_minha_experiência_profissional_seja_afetada,Experiencia_prejudicada_devido_a_minha_Cor_Raça_Etnia,Experiencia_prejudicada_devido_a_minha_identidade_de_gênero,Experiencia_prejudicada_devido_ao_fato_de_ser_PCD,Qual_sua_situação_atual_de_trabalho,vive_no_brasil,uf_onde_mora,Regiao_onde_mora,Nivel_de_Ensino,Cargo_Atual,Nivel,Faixa_salarial
rw16rac5ns5qd9qlyp5i9rw16rru2bji,30,Masculino,Branca,Não,30-34,,,,,,Empregado (CLT),1,PE,Nordeste,Graduação/Bacharelado,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,de R$ 8.001/mês a R$ 12.000/mês
rw82ptfrxuc0agxdrw8lsd8vclfctizo,36,Masculino,Branca,Não,35-39,,,,,,Empregado (CLT),1,SP,Sudeste,Pós-graduação,Cientista de Dados/Data Scientist,Pleno,de R$ 8.001/mês a R$ 12.000/mês
rwegxwxuuexqzpljfrwegxvnmy0bw7wz,29,Feminino,Branca,Não,25-29,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Empregado (CLT),1,RJ,Sudeste,Pós-graduação,Analista de Dados/Data Analyst,Sênior,de R$ 8.001/mês a R$ 12.000/mês
rwoul6i24uwfrwoulkr4wuhs3cnhrfxb,30,Masculino,Amarela,Não,30-34,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,Empregado (CLT),1,PR,Sul,Graduação/Bacharelado,Analista de Dados/Data Analyst,Júnior,de R$ 4.001/mês a R$ 6.000/mês
rwsseh8adluiuganrsrwssuln8rm2i6j,29,Masculino,Branca,Não,25-29,,,,,,Empregado (CLT),1,SP,Sudeste,Mestrado,Professor/Pesquisador,Sênior,de R$ 30.001/mês a R$ 40.000/mês
rwygeab4fdrh0be5cfllhrwygeabn9k8,29,Masculino,Branca,Não,25-29,,,,,,Empregado (CLT),1,MT,Centro-oeste,Pós-graduação,Analista de Inteligência de Mercado/Market Intelligence,Sênior,de R$ 6.001/mês a R$ 8.000/mês
rx81h0f9bnz1zh0sarx81h93wo4ssj5y,27,Masculino,Branca,Não,25-29,,,,,,Estagiário,1,RJ,Sudeste,Estudante de Graduação,Analytics Engineer,Júnior,de R$ 2.001/mês a R$ 3.000/mês
rxlae52xd95jkwifrxlffnpcovjxldzo,38,Masculino,Parda,Não,35-39,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,Empregado (CLT),1,CE,Nordeste,Graduação/Bacharelado,Analista de Dados/Data Analyst,Júnior,de R$ 4.001/mês a R$ 6.000/mês
rxqj0igqz2ajs9qrxqjgv55sb07xymfj,33,Masculino,Parda,Não,30-34,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,Empregado (CLT),1,RJ,Sudeste,Graduação/Bacharelado,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 8.001/mês a R$ 12.000/mês
rxwryd80edp7b0vaierxwry6foya1x5u,30,Masculino,Branca,Não,30-34,,,,,,Empregado (CLT),1,SP,Sudeste,Mestrado,Cientista de Dados/Data Scientist,Pleno,de R$ 8.001/mês a R$ 12.000/mês
ry385mi8sapzeer8ry385zucspdujx3v,18,Masculino,Branca,Não,17-21,,,,,,Empregado (CLT),1,PR,Sul,Não tenho graduação formal,Outra Opção,Júnior,de R$ 1.001/mês a R$ 2.000/mês
ryba47cksaq4sx0e5w99ryba47cs10mn,29,Feminino,Parda,Não,25-29,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Empregado (CLT),1,SP,Sudeste,Graduação/Bacharelado,Cientista de Dados/Data Scientist,Pleno,de R$ 4.001/mês a R$ 6.000/mês
rykyhbk4n88613ryprxytmop30d5wke3,30,Masculino,Branca,Não,30-34,,,,,,Empregado (CLT),1,SP,Sudeste,Não tenho graduação formal,Outra Opção,Pleno,de R$ 1.001/mês a R$ 2.000/mês
rza6ys6pw5oppgk9p8srza6ys658rh9d,31,Masculino,Branca,Não,30-34,,,,,,Empregado (CLT),1,SP,Sudeste,Estudante de Graduação,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,de R$ 3.001/mês a R$ 4.000/mês
rzan2pnrsja998u5fi369xcrzan2pncs,25,Masculino,Branca,Não,25-29,,,,,,Empregado (CLT),1,SP,Sudeste,Graduação/Bacharelado,Engenheiro de Machine Learning/ML Engineer/AI Engineer,Júnior,de R$ 6.001/mês a R$ 8.000/mês
rzjdr1klakrrzjd60npikczomicfki9s,31,Feminino,Parda,Não,30-34,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia, Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero, Sim, acredito que minha experiência profissional seja afetada devido ao fato de ser PCD",0.0,1.0,1.0,1.0,Vivo fora do Brasil e trabalho para empresa de fora do Brasil,0,,,Mestrado,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 30.001/mês a R$ 40.000/mês
