id,Idade,Faixa idade,Genero,Cor/raca/etnia,PCD,experiencia_profissional_prejudicada,aspectos_prejudicados,vive_no_brasil,Estado onde mora,uf onde mora,Regiao onde mora,Nivel de Ensino,Área de Formação,Cargo Atual,Nivel,Faixa salarial
3dy94xyz0vp8uym06s0pjj3dy94xrwqq,47.0,45-49,Masculino,Branca,Não,,,True,Rio Grande do Sul (RS),RS,Sul,Graduação/Bacharelado,Outra opção,Outra Opção,Júnior,de R$ 8.001/mês a R$ 12.000/mês
3d1uxdilpscf3d1ux2f1ubys3a50kcur,35.0,35-39,Feminino,Branca,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",Atenção dada pelas pessoas diante das minhas opiniões e ideias,True,Pernambuco (PE),PE,Nordeste,Pós-graduação,Outra opção,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Júnior,de R$ 2.001/mês a R$ 3.000/mês
3cuif78cefcnntj3cuikymz70r43hcte,25.0,25-29,Feminino,Parda,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero","Atenção dada pelas pessoas diante das minhas opiniões e ideias, Oportunidades de progressão de carreira, Senioridade das vagas recebidas em relação à sua experiência",True,São Paulo (SP),SP,Sudeste,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Cientista de Dados/Data Scientist,Júnior,de R$ 6.001/mês a R$ 8.000/mês
3cj2dhraihvmwdonzb23cj2dhjtaeus4,27.0,25-29,Feminino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,True,Espírito Santo (ES),ES,Sudeste,Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Analista de Dados/Data Analyst,Sênior,de R$ 8.001/mês a R$ 12.000/mês
3cgiyq09iszj4mujmavf3cgiyq0uuswe,32.0,30-34,Masculino,Branca,Não,,,True,Rio de Janeiro (RJ),RJ,Sudeste,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Analista de Negócios/Business Analyst,Júnior,de R$ 1.001/mês a R$ 2.000/mês
3byb6xl614hysv0jipr3byb6xy9xlthl,23.0,22-24,Masculino,Branca,Não,,,True,Pernambuco (PE),PE,Nordeste,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,,,
3btyho9zju452izr3bty98o7e3avij44,28.0,25-29,Masculino,Branca,Sim,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",Quantidade de oportunidades de emprego/vagas recebidas,True,Santa Catarina (SC),SC,Sul,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Analista de BI/BI Analyst,Júnior,de R$ 2.001/mês a R$ 3.000/mês
3bqpe87ge1j8nhfr8i3bqpjwmhncw5r5,38.0,35-39,Masculino,Branca,Não,,,True,São Paulo (SP),SP,Sudeste,Doutorado ou Phd,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,de R$ 25.001/mês a R$ 30.000/mês
3blmjy8xbn0qxt2543busm73t10e19qm,41.0,40-44,Feminino,Amarela,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,True,Pernambuco (PE),PE,Nordeste,Doutorado ou Phd,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Estatístico,Pleno,de R$ 6.001/mês a R$ 8.000/mês
3ajrg1digbt5ooqc22o3ajrg1dtdw9ra,33.0,30-34,Feminino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,True,Rio de Janeiro (RJ),RJ,Sudeste,Graduação/Bacharelado,Outra opção,Analista de Dados/Data Analyst,Sênior,de R$ 6.001/mês a R$ 8.000/mês
3aav5lsiaks4d07t3aavm9gd9x29iv0o,34.0,30-34,Feminino,Branca,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero","Senioridade das vagas recebidas em relação à sua experiência, Relação com outros membros da empresa, em momentos de trabalho",True,Paraná (PR),PR,Sul,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Analista de Dados/Data Analyst,Sênior,de R$ 4.001/mês a R$ 6.000/mês
3a7lwm8fi9mflaic23a7le85pz9zbm00,34.0,30-34,Masculino,Branca,Não,,,False,,,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Cientista de Dados/Data Scientist,Pleno,de R$ 30.001/mês a R$ 40.000/mês
39t6018go9ms63zf28fo39t60180ls7n,25.0,25-29,Feminino,Branca,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,True,São Paulo (SP),SP,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Analista de Dados/Data Analyst,Júnior,de R$ 3.001/mês a R$ 4.000/mês
39g23sqp3vp374blvj39g23s81m9zjpn,27.0,25-29,Feminino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,True,São Paulo (SP),SP,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Analista de Dados/Data Analyst,Pleno,de R$ 6.001/mês a R$ 8.000/mês
38s4be226f2cz4t38s4btrypb2fu5p9a,36.0,35-39,Masculino,Branca,Não,,,True,Bahia (BA),BA,Nordeste,Mestrado,Química / Física,,,
37i1z4nowsr37s21uftm9w0to7gm8e5r,27.0,25-29,Masculino,Branca,Não,,,True,Alagoas (AL),AL,Nordeste,Pós-graduação,Outras Engenharias,Analista de BI/BI Analyst,Pleno,de R$ 4.001/mês a R$ 6.000/mês
37h5amfxdw70q58jw7rt37h5amgek38i,31.0,30-34,Masculino,Branca,Não,,,True,São Paulo (SP),SP,Sudeste,Pós-graduação,Outras Engenharias,Analista de Dados/Data Analyst,Sênior,de R$ 30.001/mês a R$ 40.000/mês
36ysl7uh9h2mkhvvc36ysl7zqxsz6c6f,34.0,30-34,Masculino,Branca,Não,,,True,Distrito Federal (DF),DF,Centro-oeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Analista de Dados/Data Analyst,Júnior,de R$ 6.001/mês a R$ 8.000/mês
36rrn2hdzm0vq76rve1736rrn2hdk7s5,35.0,35-39,Masculino,Branca,Não,,,True,São Paulo (SP),SP,Sudeste,Doutorado ou Phd,Química / Física,Analista de Negócios/Business Analyst,Sênior,de R$ 20.001/mês a R$ 25.000/mês
35ol148i8ef9hpb163z3p35ol1t9d1nj,32.0,30-34,Masculino,Branca,Não,,,True,Rio Grande do Sul (RS),RS,Sul,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Analista de Dados/Data Analyst,Sênior,de R$ 8.001/mês a R$ 12.000/mês
35ki96dgvi626xnrr35ki9hwxbljdwku,49.0,45-49,Masculino,Branca,Não,,,True,São Paulo (SP),SP,Sudeste,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,
35kfwc9chia47mp35kfwc8pp3hwk97xl,30.0,30-34,Masculino,Branca,Não,,,True,Santa Catarina (SC),SC,Sul,Mestrado,Outras Engenharias,,,de R$ 6.001/mês a R$ 8.000/mês
34uwi89ucce634uw2regcs2pe1iiz8l0,34.0,30-34,Feminino,Branca,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,True,Rio Grande do Sul (RS),RS,Sul,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,,,
34n70mgxzx6zggluca7mt3z34n70mgxq,32.0,30-34,Masculino,Branca,Não,,,True,Minas Gerais (MG),MG,Sudeste,Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Cientista de Dados/Data Scientist,Pleno,de R$ 16.001/mês a R$ 20.000/mês
34jv76lb72xnbs34jvll762cswsfruje,25.0,25-29,Feminino,Parda,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero, Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia","Quantidade de oportunidades de emprego/vagas recebidas, Senioridade das vagas recebidas em relação à sua experiência, Aprovação em processos seletivos/entrevistas, Velocidade de progressão de carreira, Nível de cobrança no trabalho / Stress no trabalho, Atenção dada pelas pessoas diante das minhas opiniões e ideias",True,São Paulo (SP),SP,Sudeste,Pós-graduação,Outras Engenharias,,,
